module,type,name,res_id,src,value
l10n_pe_ple,field,"l10n_pe.ple_configuration,report_type",0,Report type,Tipo de reporte
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_16,SHARE_TYPE,SHARE_TYPE
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.pe_sunat,SUNAT Configuration,Configuración SUNAT
l10n_pe_ple,view,l10n_pe.ple,0,SUNAT PLE,SUNAT PLE
l10n_pe_ple,model,"ir.actions.act_window,name",l10n_pe_ple.sunat_ple_configuration_action,SUNAT PLE Configuration,Configuración SUNAT PLE
l10n_pe_ple,model,"ir.ui.menu,name",l10n_pe_ple.sunat_ple_configuration_menu,SUNAT PLE Configuration,Configuración SUNAT PLE
l10n_pe_ple,view,l10n_pe.ple,0,SUNAT PLE Configuration,Configuración SUNAT PLE
l10n_pe_ple,view,l10n_pe.ple_configuration,0,SUNAT PLE Configuration,Configuración SUNAT PLE
l10n_pe_ple,view,l10n_pe.ple,0,SUNAT Report,Reporte SUNAT
l10n_pe_ple,view,l10n_pe.ple,0,Save file,Guardar archivo
l10n_pe_ple,code,addons/l10n_pe_ple/sunat.py,181,Save output file,Guardar archivo de salida
l10n_pe_ple,field,"l10n_pe.ple_line,sequence",0,Sequence,Secuencia
l10n_pe_ple,field,"l10n_pe.ple,state",0,State,Estado
l10n_pe_ple,field,"l10n_pe.ple_line,state",0,State,Estado
l10n_pe_ple,field,"l10n_pe.ple,message_summary",0,Summary,Resumen
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_15,TITLE_TYPE,TITLE_TYPE
l10n_pe_ple,field,"l10n_pe.ple_configuration,accounts_ids",0,Target accounts,Cuentas a utilizar
l10n_pe_ple,field,"l10n_pe.ple_configuration,journals_ids",0,Target journals,Diarios a utilizar
l10n_pe_ple,view,l10n_pe.sunat_file_save,0,This file was generated using the SUNAT specifications.,Este archivo fue generado según especificaciones SUNAT
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_06,UOM_TYPE,UOM_TYPE
l10n_pe_ple,field,"l10n_pe.ple,message_unread",0,Unread Messages,Mensajes no leidos
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_14,VALUATION_METH,VALUATION_METH
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,56,Value error,Error de valor
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,64,Value error,Error de valor
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,69,Value error,Error de valor
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,73,Value error,Error de valor
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,77,Value error,Error de valor
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,81,Value error,Error de valor
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,87,Value error,Error de valor
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,91,Value error,Error de valor
l10n_pe_ple,selection,"l10n_pe.ple_line,operation_state",0,Within period,Dentro del período
l10n_pe_ple,code,addons/l10n_pe_ple/sunat.py,79,"You can not get back to ""draft"" an issued report!",No se puede volver a poner en borrador un reporte ya publicado!
l10n_pe_ple,model,"ir.model,name",l10n_pe_ple.model_l10n_pe_ple,l10n_pe.ple,l10n_pe.ple
l10n_pe_ple,model,"ir.model,name",l10n_pe_ple.model_l10n_pe_ple_configuration,l10n_pe.ple_configuration,l10n_pe.ple_configuration
l10n_pe_ple,model,"ir.model,name",l10n_pe_ple.model_l10n_pe_ple_line,l10n_pe.ple_line,l10n_pe.ple_line
l10n_pe_ple,model,"ir.model,name",l10n_pe_ple.model_l10n_pe_sunat_file_save,l10n_pe.sunat_file_save,l10n_pe.sunat_file_save
l10n_pe_ple,view,res.partner,0,"onchange_is_company(is_company,doc_type)","onchange_is_company(is_company,doc_type)"
